id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
1067,2017-07-08,Incompatible with owner lifestyle,0,C1707659,981020021065934,Pumpkin,Domestic Short Hair,Black,Cat,1.5,Male,Adoptable Cat Glass Colony,2017-07-16,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1068,2017-07-08,Incompatible with owner lifestyle,0,C1707660,981020021052531,Deidre,Domestic Short Hair,White,Cat,9.3,Female,Adoptable Cat Big Colony,2017-07-27,Adoption,0.0,Incompatible with owner lifestyle,Court Order/ Legal,0,0,0
1069,2017-07-08,Incompatible with owner lifestyle,0,C1707674,981020021067472,Squeaky Backstreet,Domestic Short Hair,Grey,Cat,3.6,Female,Adoptable Cat Big Colony,2017-07-20,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1070,2017-07-08,Landlord issues,0,D1707677,981020017866557,Max,Boston Terrier,Brindle and White,Dog,3.4,Male,Adoptable Dogs,2017-07-14,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1071,2017-07-08,Litter relinquishment,0,C1707704,981020021074313,Jazz,Domestic Short Hair,Black,Cat,1.5,Male,Adoptable Cat Middle Colony,2017-07-14,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1072,2017-07-08,Litter relinquishment,0,C1707705,981020021488981,Blues,Domestic Short Hair,Black,Cat,1.5,Male,Adoptable Cat Kennels,2017-07-14,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1073,2017-07-08,Litter relinquishment,0,C1707706,981020021498414,Reggae,Domestic Short Hair,Black,Cat,1.5,Female,Adoptable Cat Kennels,2017-07-14,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1074,2017-07-08,Litter relinquishment,0,C1707707,981020021472766,Funk,Domestic Short Hair,Black and Brown,Cat,1.5,Female,Adoptable Cat Kennels,2017-07-14,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1075,2017-07-08,Litter relinquishment,0,C1707708,911002001427754,Alice,Siamese/Domestic Short Hair,Chocolate Point,Cat,1.3,Female,Feline Nursery,2017-07-14,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1076,2017-06-23,Stray,0,C1706709,0A44670213,June,Domestic Short Hair,White,Cat,0.0,Female,Feline Nursery,2017-06-30,Foster,0.0,Stray,Died in care,0,0,0
1077,2017-07-09,Stray,0,C1707710,981020021020629,Buddy,Domestic Short Hair,Black and grey,Cat,4.3,Male,Adoptable Cat Small Colony,2017-07-13,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
1078,2017-07-09,Stray,0,D1707711,0A60390638,Milo,Akita,Tan and White,Dog,29.3,Male,Stray Dogs Beta,2017-07-09,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
1079,2017-07-09,Stray,0,D1707712,981020021054137,Sage,Beagle,Tricolour,Dog,4.9,Female,Adoptable Dogs,2017-07-20,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1080,2017-07-10,Stray,0,D1707713,981020021068419,Jett,Labrador Retriever/Great Dane,Black,Dog,2.0,Male,Adoptable Dogs,2017-07-25,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1081,2017-07-10,Stray,0,D1707714,981020021070930,Lucky Man,Poodle,Black,Dog,14.4,Male,Adoptable Dogs,2017-07-29,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1082,2017-07-10,Stray,0,D1707715,981020021068381,Jack,Basenji/Akita,"Brown, Black and White",Dog,2.1,Male,Adoptable Dogs,2017-07-29,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
